product_title,trend_probability
Jockey 1467 Women's Super Combed Cotton Rib Fabric Slim Fit Solid Racerback Styled Tank Top,1.0
Cotton Blend Stripes Design On The Shoulder Comfortable Office Occasion Wear Regular Fit Scoop Neck Half Sleeves Casual T-Shirt for Women,1.0
Blue RoninWomen 3/4 Sleeve Stylish Western Official Formal Shirts for Women Regular fit Shirts for Women,1.0
RodZen Oversized | Loose Fit | Relaxed Fit | Wide Fit Half Sleeves 100% Cotton Round Neck Printed T-Shirt for Womens/Girls,1.0
Leriya Fashion Dress for Women | Loose Fit | Button-Down | Shirt Dress | 3/4 Sleeve | Summer Wear | Available in (Pack of 2 | Value Pack),1.0
ICW Women Knit Rhinestone Embellised Mesh Crop Top T-Shirt (One Size Bust 28-34 Inch XS-S) 107,1.0
HIGH STAR Women's Solid Oversized Fit Shirt,1.0
FUNDAY FASHION Women Solid Formal Satin Regular Fit Shirt,1.0
GRECIILOOKS Women's Short Sleeve Button-Down Shirt | Printed Casual Crop Top | Stylish Collared Shirt for Women | Oversized Shirt for Woman,1.0
FYLTR Women's Fashion V-Neck Top with Roll-up Sleeves,1.0
JAIPUR HAND BLOCK Women's Cotton Top |Tunic,1.0
"KOTTY Women’s Solid Slim Fit T-Shirt – Classic Round Neck, Stretchable Cotton Tee",1.0
Stylum Women's Floral Printed Cotton Top,1.0
Aahwan Women's & Girl'S Solid Flower Embroidery Semi-Sheer Tank Relaxed Fit Crop Top,1.0
rytras Women's Cotton Printed Regular Fit top,1.0
SIGHTBOMB V Neck LACE Trim Spaghetti Ribbed Slim Fit Tops for Women,1.0
Bollyclues Women's Printed Rayon Shirt Top for Women | Western Shirt for Women Stylish Latest | Office Wear Crop Top Blouse(TO-04),1.0
Wear Your Opinion Womens Polo Collar Neck T-Shirt Top (Design: Solid),1.0
LEOTUDE Women Cottonblend Half Sleeve Oversized Regular Fit T-Shirts,1.0
SIGHTBOMB HIGH Neck CUTSLEEVE FRONTFLOW Waterfall Drape SOFTLINE Ultra SOFTFEATHER Touch Cuddle TOP for Women,1.0
"Women's Black Cotton Top/Kurta with Embroidered Neckline, 3/4 Sleeves Casual Wear",1.0
Women's Regular Fit Cotton Blend Shirts with Wingtip Collar,1.0
"Dream Beauty Fashion Women's Sweet Heart Neck Puff/Balloon Bishop Sleeve Elegant Casual Tee Top, 23"" inches (Top Mentos-01)",1.0
Bewakoof Women's 100% Cotton Printed Boyfriend Fit Round Neck T-Shirt,1.0
GRECIILOOKS Women's Short Sleeve Button-Down Shirt | Printed Casual Crop Top | Stylish Collared Shirt for Women | Oversized Shirt for Woman,1.0
"Bowiemall Cotton Clip-on Mock Lace Camisole for Women Deep Neck Cleavage Cover High Neck Camisoles Insert Vest Bra- Set of 3, Multicolor",1.0
Leriya Fashion Women's Short Sleeve Button-Down Shirt | Printed Casual Crop Top | Stylish Collared Shirt for Women | Oversized Shirt for Women,1.0
Gudwear Stylish Printed Button Down Style Shirt Top for Women,1.0
Kashis CreationsFloral Print Rayon Kurta for Women | Regular Fit Top | Stylish Top for Girls | Top for Office | Kurti for Women | Light Blue | 1079,1.0
"Dream Beauty Fashion Casual Women's Round Neck and Puff Sleeves Stylish Printed Top - 23"" inches (Tee-Ananya01)",1.0
Aahwan Women's Printed & Girls' Puff Sleeve Tie Front Ditsy Floral Slim Fit Top,1.0
"DEIDAD Regular Fit Tops For Women|Stylish, Short Sleeves, And Breathable Fabric|Perfect For Casual, Office, And Everyday Outfits",1.0
Leriya Fashion Floral Regular Fit Jeans Korean Trendi Western Tops for Women Stylish,1.0
KOTTY Womens Satin Sleeveless Solid Top,1.0
"LEOTUDE Oversized Cottonblend Half Sleeve Round Neck Longline Drop Shoulder, Colorful Printed T-Shirt Women's Combo T-Shirts (Pack of 3)",1.0
Alan Jones Clothing Women's Waffle Crew Neck Long Sleeve Relaxed Fit T-Shirt,1.0
Bee M Pee Designer Women's Floral Regular Fit T-Shirt,1.0
Jawdrobe Cotton Blend Oversized Fit Half Sleeve Printed Round Neck T-Shirt for Women,1.0
Women Printed Cotton Rich T Shirt | Round Neck Tshirts|Half Sleeves|Printed-Regular Fit-Mack640809,1.0
"KOTTY Women’s Solid Slim Fit T-Shirt – Classic Round Neck, Stretchable Cotton Tee",1.0
Women's Cotton Stylish Readymade Stretchable Deep V Neck Long Sleeve Regular Fit Saree Choli Black Blouses for Women L489,1.0
Bewakoof Women's T-Shirt,1.0
New Printed Short Kurti and top for Womans,1.0
Adidas Women's Solid Regular Fit T-Shirt,1.0
Mubeno Women's Floral Printed Poly Rayon Tops for Women | Stylish Jeans Top Shirt Woman & Girls | Regular Officewear | Casual | Ethnic | Summer,1.0
Max Regular Fit Women Printed Round Neck T-Shirt,1.0
JUNEBERRY® Pure Cotton Oversized Loose Fit Boyfriend Half Sleeve Cool Front & Back Graphic Printed Round Neck T-Shirt Combo for Women,1.0
GESPO Women's Solid Multicolor High Neck Full Sleeve Top,1.0
DEIDAD Women's Regular Fit Top,1.0
LEOTUDE Women's Camouflage Half Sleeve Boyfriend/Loose Fit T-Shirt,1.0
Yash Gallery Women's Cotton Patch Work Straight Top for Women,1.0
Jockey 1535 Women's Super Combed Cotton Rib Fabric Inner Tank Top with Stay Fresh Treatment,1.0
LEOTUDE Women's Oversized Round Neck Cottonblend T-Shirts (Color : Multi),1.0
Cotton Blend Oversized Fit Half Sleeve Printed Round Neck T-Shirt for Women,1.0
Max Plus Size Women Striped Round Neck T-Shirt,1.0
SIGHTBOMB Sheer NET Sleeves Ribbed Corset Slim Fit Tops for Women,1.0
GRECIILOOKS Women's Short Sleeve Button-Down Shirt | Printed Casual Crop Top | Stylish Collared Shirt for Women | Oversized Shirt for Woman,1.0
CHKOKKO Women Round Neck Dry Fit Gym Sports T-Shirt,1.0
PLADO Women's and Girls Georgette Top Maroon,1.0
Women's Stylish & Premium Cotton Tank Top & Crop Top for Women,1.0
JUNEBERRY® Cotton Regular Fit Printed Half Sleeves T-Shirt for Women,1.0
"Dream Beauty Fashion Women's V-Neck Full Sleeves Hosiery Crop Top (16"" Inches)",1.0
GRECIILOOKS Regular Fit Tops for Jeans for Women | Korean Trendy Stylish Casual| Half Sleeve Textured Collarless | Crop Tank | Formal,1.0
Vaararo Velvet Blouse Tops for Women | Party Puff Sleeves Readymade Outfit,1.0
Sheetal Associates Women's Casual Puff Sleeves Floral Print Peplum Top,1.0
Aahwan Women's & Girls' Solid Basic V Neck Collared Ribbed Slim Fit Crop Top,1.0
Wear Your Opinion Womens Polo Collar Neck T-Shirt Top (Design: Solid),1.0
GRECIILOOKS Regular Fit Tops for Jeans for Women | Korean Trendy Stylish Casual| Half Sleeve Textured Collarless | Crop Tank | Formal,1.0
GRECIILOOKS Shirt for Women | Women Shirt | Long Shirt for Women | Shirt Tops for Women | Oversized Shirt for Women,1.0
Gufrina Shirt for Women| Long Shirt for Women| Floral Print | Button-Down Western Shirt| Roll-Up Sleeves| Casual Relaxed Fit for Women,1.0
Yash Gallery Women's Rayon Dobby Solid Straight Half Puff Sleeve High Neck Casual Regular Fit Top,1.0
ROYALICA Women's Regular Fit Red Heart Printed Button Down Collar Casual White Shirt.,1.0
HELLCAT Beige Trendy Printed Oversized T-Shirt for Women,1.0
GRECIILOOKS Women's Short Sleeve Button-Down Shirt | Printed Casual Crop Top | Stylish Collared Shirt for Women | Oversized Shirt for Woman,1.0
London Hills Women Printed Round Neck Oversized T-Shirt | Loose Fit Drop Shoulder T-Shirt Pack of 3,1.0
KERI PERRY Women's Maroon Muslin Polka Dot Straight Western Top | Winter Top | Western Top | Top for Women | Latest Women Top | Trendy Women Top,1.0
FUNDAY FASHION Cotton Short Sleeve Oversized T-Shirt for Women (Pack of 2),1.0
